Basin,District,Gross Capacity,Current Level,Current Storage,Flood Cushion,Inflow,Outflow,Year,Month,reservoir_id
Pennar,20,78.0,323.93,64.73,13.27,21113.0,9944.0,2021,9,11
Other,20,68.03,266.21,50.48,17.55,10300.0,1695.0,2021,9,12
Pennar,10,16.95,867.65,16.58,0.37,8700.0,8280.0,2021,9,14
Pennar,26,10.0,973.72,8.79,1.21,440.0,190.0,2021,9,16
Pennar,26,9.98,612.34,0.21,9.77,-999.0,-999.0,2021,9,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2021,9,18
Pennar,10,2.97,816.37,0.02,2.95,0.0,0.0,2021,9,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2021,9,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2021,9,22
Krishna,10,215.81,883.86,209.31,6.5,70130.0,64301.0,2021,10,1
Krishna,9,312.05,589.5,310.55,1.5,66228.0,66228.0,2021,10,2
Krishna,13,3.07,57.05,3.07,0.0,98643.0,90073.0,2021,10,4
Other,7,24.11,272.31,17.39,6.72,3514.0,600.0,2021,10,5
Pennar,26,17.74,633.46,2.63,15.11,1250.0,603.0,2021,10,6
Other,23,4.96,378.71,4.17,0.79,3700.0,1014.0,2021,10,7
Other,18,3.86,78.77,3.34,0.52,754.0,484.0,2021,10,8
Other,24,2.51,340.88,1.84,0.67,4467.0,4143.0,2021,10,9
Other,21,0.61,123.92,0.54,0.07,16128.0,10185.0,2021,10,10
Pennar,20,78.0,327.78,73.06,4.94,7601.0,11430.0,2021,10,11
Other,20,68.03,271.36,57.18,10.85,0.0,255.0,2021,10,12
Pennar,10,16.95,868.41,16.93,0.02,4600.0,4580.0,2021,10,14
Pennar,26,10.0,974.11,8.92,1.08,0.0,190.0,2021,10,16
Pennar,26,9.98,616.37,0.37,9.61,-999.0,-999.0,2021,10,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2021,10,18
Pennar,10,2.97,815.72,0.02,2.95,0.0,0.0,2021,10,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2021,10,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2021,10,22
Krishna,10,215.81,870.57,144.08,71.73,6574.0,39676.0,2021,11,1
Krishna,9,312.05,590.0,312.05,0.0,65380.0,86130.0,2021,11,2
Krishna,13,3.07,57.05,3.07,0.0,42240.0,32967.0,2021,11,4
Other,7,24.11,279.95,21.62,2.49,3125.0,1050.0,2021,11,5
Pennar,26,17.74,633.46,2.63,15.11,1345.0,489.0,2021,11,6
Other,23,4.96,379.04,4.23,0.73,-999.0,-999.0,2021,11,7
Other,18,3.86,78.44,3.18,0.68,2510.0,1388.0,2021,11,8
Other,24,2.51,342.45,2.12,0.39,980.0,980.0,2021,11,9
Other,21,0.61,125.0,0.61,0.0,3855.0,3855.0,2021,11,10
Pennar,20,78.0,327.83,73.17,4.83,25145.0,32657.0,2021,11,11
Other,20,68.03,269.95,55.29,12.74,620.0,1645.0,2021,11,12
Pennar,10,16.95,868.24,16.84,0.11,2780.0,4760.0,2021,11,14
Pennar,26,10.0,976.25,9.7,0.3,348.0,40.0,2021,11,16
Pennar,26,9.98,-999.0,-999.0,9.98,-999.0,-999.0,2021,11,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2021,11,18
Pennar,10,2.97,0.0,0.0,2.97,0.0,0.0,2021,11,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2021,11,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2021,11,22
Krishna,10,215.81,867.81,132.77,83.04,21351.0,22259.0,2021,12,1
Krishna,9,312.05,588.39,307.28,4.77,33307.0,33307.0,2021,12,2
Krishna,13,3.07,57.05,3.07,0.0,3702.0,3702.0,2021,12,4
Other,7,24.11,281.86,22.77,1.34,506.0,50.0,2021,12,5
Pennar,26,17.74,633.46,2.63,15.11,613.0,0.0,2021,12,6
Other,23,4.96,377.95,4.04,0.92,300.0,500.0,2021,12,7
Other,18,3.86,77.72,2.97,0.89,2244.0,1434.0,2021,12,8
Other,24,2.51,342.72,2.17,0.34,756.0,1416.0,2021,12,9
Other,21,0.61,125.0,0.61,0.0,2572.0,2572.0,2021,12,10
Pennar,20,78.0,325.18,67.28,10.72,52940.0,38690.0,2021,12,11
Other,20,68.03,272.9,59.29,8.74,1200.0,3920.0,2021,12,12
Pennar,10,16.95,863.42,14.41,2.54,2500.0,1120.0,2021,12,14
Pennar,26,10.0,973.62,8.76,1.24,2000.0,2310.0,2021,12,16
Pennar,26,9.98,618.77,0.51,9.47,-999.0,-999.0,2021,12,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2021,12,18
Pennar,10,2.97,0.0,0.0,2.97,0.0,0.0,2021,12,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2021,12,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2021,12,22
Krishna,10,215.81,860.66,107.99,107.82,1308.0,25655.0,2022,1,1
Krishna,9,312.05,580.1,283.3,28.75,5753.0,19096.0,2022,1,2
Krishna,13,3.07,56.86,3.02,0.05,3947.0,4297.0,2022,1,4
Other,7,24.11,280.41,21.89,2.22,141.0,1300.0,2022,1,5
Pennar,26,17.74,633.46,2.63,15.11,1740.0,73.0,2022,1,6
Other,23,4.96,377.46,3.95,1.01,480.0,485.0,2022,1,7
Other,18,3.86,78.38,3.15,0.71,1131.0,1131.0,2022,1,8
Other,24,2.51,342.88,2.21,0.3,463.0,463.0,2022,1,9
Other,21,0.61,123.95,0.54,0.07,722.0,722.0,2022,1,10
Pennar,20,78.0,327.37,72.13,5.87,8560.0,3433.0,2022,1,11
Other,20,68.03,269.46,54.63,13.4,0.0,1320.0,2022,1,12
Pennar,10,16.95,856.17,11.13,5.82,1450.0,3580.0,2022,1,14
Pennar,26,10.0,975.79,9.53,0.47,0.0,0.0,2022,1,16
Pennar,26,9.98,620.93,0.66,9.32,1000.0,855.0,2022,1,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2022,1,18
Pennar,10,2.97,-999.0,-999.0,2.97,-999.0,-999.0,2022,1,20
Pennar,26,1.6,654.38,1.58,0.02,2.0,29.0,2022,1,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2022,1,22
Krishna,10,215.81,829.53,48.96,166.85,0.0,41872.0,2022,2,1
Krishna,9,312.05,-999.0,-999.0,312.05,-999.0,-999.0,2022,2,2
Krishna,13,3.07,57.05,3.07,0.0,3626.0,3626.0,2022,2,4
Other,7,24.11,275.16,18.89,5.22,69.0,1340.0,2022,2,5
Pennar,26,17.74,623.46,2.63,15.11,782.0,122.0,2022,2,6
Other,23,4.96,377.1,3.89,1.07,50.0,30.0,2022,2,7
Other,18,3.86,78.81,3.35,0.51,633.0,633.0,2022,2,8
Other,24,2.51,342.62,2.16,0.35,490.0,490.0,2022,2,9
Other,21,0.61,124.77,0.61,0.0,390.0,237.0,2022,2,10
Pennar,20,78.0,328.69,75.08,2.92,2816.0,3530.0,2022,2,11
Other,20,68.03,266.77,51.18,16.85,0.0,1160.0,2022,2,12
Pennar,10,16.95,834.09,3.84,13.11,0.0,1500.0,2022,2,14
Pennar,26,10.0,976.66,9.85,0.15,360.0,90.0,2022,2,16
Pennar,26,9.98,614.5,0.28,9.7,0.0,0.0,2022,2,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2022,2,18
Pennar,10,2.97,0.0,0.0,2.97,0.0,0.0,2022,2,20
Pennar,26,1.6,654.38,1.58,0.02,2.0,29.0,2022,2,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2022,2,22
Krishna,10,215.81,804.49,31.25,184.56,0.0,0.0,2022,3,1
Krishna,9,312.05,572.4,262.59,49.46,13614.0,36827.0,2022,3,2
Krishna,13,3.07,56.46,2.93,0.14,3529.0,3529.0,2022,3,4
Other,7,24.11,268.86,15.81,8.3,91.0,1400.0,2022,3,5
Pennar,26,17.74,699.86,16.18,1.56,0.0,378.0,2022,3,6
Other,23,4.96,376.05,3.71,1.25,0.0,60.0,2022,3,7
Other,18,3.86,78.44,3.18,0.68,280.0,280.0,2022,3,8
Other,24,2.51,342.32,2.1,0.41,445.0,445.0,2022,3,9
Other,21,0.61,120.77,0.27,0.34,55.0,254.0,2022,3,10
Pennar,20,78.0,321.6,69.38,8.62,670.0,4030.0,2022,3,11
Other,20,68.03,263.75,47.48,20.55,0.0,1570.0,2022,3,12
Pennar,10,16.95,826.41,2.23,14.72,0.0,130.0,2022,3,14
Pennar,26,10.0,976.0,9.62,0.38,0.0,40.0,2022,3,16
Pennar,26,9.98,608.92,0.14,9.84,0.0,0.0,2022,3,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2022,3,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,3,20
Pennar,26,1.6,654.38,1.55,0.05,0.0,33.0,2022,3,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2022,3,22
Krishna,10,215.81,811.19,34.98,180.83,0.0,800.0,2022,4,1
Krishna,9,312.05,548.5,206.49,105.56,13233.0,13233.0,2022,4,2
Krishna,13,3.07,57.05,3.07,0.0,3705.0,1385.0,2022,4,4
Other,7,24.11,260.17,12.64,11.47,275.0,1400.0,2022,4,5
Pennar,26,17.74,695.13,14.82,2.92,0.0,348.0,2022,4,6
Other,23,4.96,374.48,3.44,1.52,0.0,61.0,2022,4,7
Other,18,3.86,77.33,2.96,0.9,0.0,160.0,2022,4,8
Other,24,2.51,342.55,2.14,0.37,270.0,270.0,2022,4,9
Other,21,0.61,119.32,0.19,0.42,260.0,248.0,2022,4,10
Pennar,20,78.0,322.35,61.57,16.43,364.0,1645.0,2022,4,11
Other,20,68.03,260.5,43.71,24.32,0.0,845.0,2022,4,12
Pennar,10,16.95,825.07,2.01,14.94,0.0,90.0,2022,4,14
Pennar,26,10.0,975.0,9.25,0.75,0.0,120.0,2022,4,16
Pennar,26,9.98,608.63,0.14,9.84,0.0,0.0,2022,4,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2022,4,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,4,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2022,4,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2022,4,22
Krishna,10,215.81,812.34,35.63,180.18,0.0,0.0,2022,5,1
Krishna,9,312.05,538.8,185.84,126.21,2543.0,2543.0,2022,5,2
Krishna,13,3.07,56.14,2.86,0.21,5180.0,5180.0,2022,5,4
Other,7,24.11,254.17,10.68,13.43,169.0,524.0,2022,5,5
Pennar,26,17.74,691.2,13.74,4.0,0.0,378.0,2022,5,6
Other,23,4.96,373.1,3.23,1.73,0.0,82.0,2022,5,7
Other,18,3.86,76.12,2.4,1.46,0.0,160.0,2022,5,8
Other,24,2.51,342.03,2.04,0.47,386.0,895.0,2022,5,9
Other,21,0.61,115.32,0.05,0.56,40.0,469.0,2022,5,10
Pennar,20,78.0,320.96,58.79,19.21,0.0,1737.0,2022,5,11
Other,20,68.03,258.53,41.52,26.51,0.0,275.0,2022,5,12
Pennar,10,16.95,-999.0,-999.0,16.95,-999.0,-999.0,2022,5,14
Pennar,26,10.0,-999.0,-999.0,10.0,-999.0,-999.0,2022,5,16
Pennar,26,9.98,608.63,0.14,9.84,0.0,0.0,2022,5,17
Pennar,26,6.0,917.62,5.13,0.87,0.0,20.0,2022,5,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,5,20
Pennar,26,1.6,650.72,1.26,0.34,0.0,35.0,2022,5,21
Pennar,3,0.31,237.31,0.19,0.13,0.0,0.0,2022,5,22
Krishna,10,215.81,816.73,38.45,177.36,1115.0,800.0,2022,6,1
Krishna,9,312.05,535.6,179.29,132.76,4750.0,7093.0,2022,6,2
Krishna,13,3.07,56.43,2.92,0.15,0.0,0.0,2022,6,4
Other,7,24.11,252.72,10.23,13.88,27.0,385.0,2022,6,5
Pennar,26,17.74,688.31,12.97,4.77,0.0,178.0,2022,6,6
Other,23,4.96,372.83,3.19,1.77,0.0,82.0,2022,6,7
Other,18,3.86,75.3,2.24,1.62,0.0,210.0,2022,6,8
Other,24,2.51,342.09,2.06,0.45,438.0,230.0,2022,6,9
Other,21,0.61,110.3,0.0,0.61,64.0,0.0,2022,6,10
Pennar,20,78.0,319.75,56.42,21.58,458.0,2425.0,2022,6,11
Other,20,68.03,253.87,36.65,31.38,0.0,2000.0,2022,6,12
Pennar,10,16.95,819.35,1.19,15.76,0.0,120.0,2022,6,14
Pennar,26,10.0,-999.0,-999.0,10.0,-999.0,-999.0,2022,6,16
Pennar,26,9.98,-999.0,-999.0,9.98,-999.0,-999.0,2022,6,17
Pennar,26,6.0,917.17,4.96,1.04,0.0,20.0,2022,6,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,6,20
Pennar,26,1.6,648.72,1.12,0.48,0.0,32.5,2022,6,21
Pennar,3,0.31,237.45,0.27,0.05,0.0,0.0,2022,6,22
Krishna,10,215.81,824.08,44.01,171.8,0.0,0.0,2022,7,1
Krishna,9,312.05,531.9,171.88,140.17,4144.0,8724.0,2022,7,2
Krishna,13,3.07,56.89,3.03,0.04,-999.0,-999.0,2022,7,4
Other,7,24.11,251.28,9.79,14.32,2746.0,760.0,2022,7,5
Pennar,26,17.74,686.28,12.45,5.29,0.0,173.0,2022,7,6
Other,23,4.96,373.79,3.33,1.63,250.0,50.0,2022,7,7
Other,18,3.86,74.34,2.18,1.68,10.0,10.0,2022,7,8
Other,24,2.51,343.21,2.27,0.24,1717.0,1115.0,2022,7,9
Other,21,0.61,122.05,0.36,0.25,935.0,0.0,2022,7,10
Pennar,20,78.0,319.96,56.78,21.22,1247.0,1247.0,2022,7,11
Other,20,68.03,248.0,31.06,36.97,0.0,1520.0,2022,7,12
Pennar,10,16.95,818.14,1.06,15.89,0.0,50.0,2022,7,14
Pennar,26,10.0,971.75,8.14,1.86,0.0,40.0,2022,7,16
Pennar,26,9.98,617.95,0.46,9.52,0.0,116.0,2022,7,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2022,7,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,7,20
Pennar,26,1.6,647.64,1.04,0.56,0.0,31.0,2022,7,21
Pennar,3,0.31,237.35,0.26,0.06,0.0,0.0,2022,7,22
Krishna,10,215.81,881.6,196.56,19.25,93502.0,75552.0,2022,8,1
Krishna,9,312.05,557.32,226.15,85.9,27556.0,11825.0,2022,8,2
Krishna,13,3.07,-999.0,-999.0,3.07,-999.0,-999.0,2022,8,4
Other,7,24.11,256.33,11.37,12.74,1300.0,780.0,2022,8,5
Pennar,26,17.74,684.31,11.95,5.79,0.0,173.0,2022,8,6
Other,23,4.96,-999.0,-999.0,4.96,-999.0,-999.0,2022,8,7
Other,18,3.86,75.78,2.65,1.21,10.0,10.0,2022,8,8
Other,24,2.51,-999.0,-999.0,2.51,-999.0,-999.0,2022,8,9
Other,21,0.61,123.26,0.48,0.13,3781.0,3816.0,2022,8,10
Pennar,20,78.0,321.01,58.89,19.11,4260.0,996.0,2022,8,11
Other,20,68.03,247.16,30.34,37.69,0.0,815.0,2022,8,12
Pennar,10,16.95,865.52,15.43,1.52,5500.0,2120.0,2022,8,14
Pennar,26,10.0,971.11,7.93,2.07,1997.0,140.0,2022,8,16
Pennar,26,9.98,-999.0,-999.0,9.98,-999.0,-999.0,2022,8,17
Pennar,26,6.0,906.71,4.69,1.31,0.0,50.0,2022,8,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,8,20
Pennar,26,1.6,646.65,0.98,0.62,0.0,31.0,2022,8,21
Pennar,3,0.31,237.35,0.26,0.06,0.0,0.0,2022,8,22
Krishna,10,215.81,884.8,214.36,1.45,158530.0,187097.0,2022,9,1
Krishna,9,312.05,589.6,310.85,1.2,116451.0,61488.0,2022,9,2
Krishna,13,3.07,57.05,3.07,0.0,51390.0,52157.0,2022,9,4
Other,7,24.11,260.99,12.92,11.19,134.0,875.0,2022,9,5
Pennar,26,17.74,687.82,12.84,4.9,1718.0,699.0,2022,9,6
Other,23,4.96,374.5,3.45,1.51,47.0,590.0,2022,9,7
Other,18,3.86,76.11,2.74,1.12,0.0,10996.0,2022,9,8
Other,24,2.51,342.19,2.08,0.43,5663.0,3603.0,2022,9,9
Other,21,0.61,125.0,0.61,0.0,10638.0,10638.0,2022,9,10
Pennar,20,78.0,327.25,71.89,6.11,10876.0,10776.0,2022,9,11
Other,20,68.03,257.92,40.86,27.17,7770.0,735.0,2022,9,12
Pennar,10,16.95,866.43,15.84,1.11,2000.0,3400.0,2022,9,14
Pennar,26,10.0,974.39,9.02,0.98,2310.0,2290.0,2022,9,16
Pennar,26,9.98,620.0,0.58,9.4,0.0,146.0,2022,9,17
Pennar,26,6.0,903.81,4.56,1.44,0.0,160.0,2022,9,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,9,20
Pennar,26,1.6,645.57,0.92,0.68,0.0,31.0,2022,9,21
Pennar,3,0.31,237.32,0.25,0.06,0.0,0.0,2022,9,22
Krishna,10,215.81,883.01,204.21,11.6,91280.0,75239.0,2022,10,1
Krishna,9,312.05,589.99,312.05,0.0,89960.0,89960.0,2022,10,2
Krishna,13,3.07,57.05,3.07,0.0,89039.0,89249.0,2022,10,4
Other,7,24.11,272.21,17.34,6.77,3592.0,825.0,2022,10,5
Pennar,26,17.74,633.46,2.63,15.11,1430.0,863.0,2022,10,6
Other,23,4.96,376.12,3.72,1.24,755.0,553.0,2022,10,7
Other,18,3.86,71.82,1.56,2.3,4061.0,12000.0,2022,10,8
Other,24,2.51,340.68,1.81,0.7,3071.0,3071.0,2022,10,9
Other,21,0.61,124.84,0.61,0.0,12557.0,12557.0,2022,10,10
Pennar,20,78.0,326.87,71.05,6.95,33882.0,33363.0,2022,10,11
Other,20,68.03,268.41,53.26,14.77,4380.0,1670.0,2022,10,12
Pennar,10,16.95,867.84,16.37,0.58,3000.0,3590.0,2022,10,14
Pennar,26,10.0,975.61,9.47,0.53,1121.0,3612.0,2022,10,16
Pennar,26,9.98,633.14,1.86,8.12,1980.0,1911.0,2022,10,17
Pennar,26,6.0,915.4,5.48,0.52,550.0,40.0,2022,10,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,10,20
Pennar,26,1.6,644.62,0.86,0.74,10.0,31.0,2022,10,21
Pennar,3,0.31,237.3,0.25,0.06,0.0,0.0,2022,10,22
Krishna,10,215.81,883.27,205.91,9.9,48874.0,53776.0,2022,11,1
Krishna,9,312.05,589.6,310.85,1.2,57248.0,53790.0,2022,11,2
Krishna,13,3.07,57.05,3.07,0.0,53131.0,53443.0,2022,11,4
Other,7,24.11,278.31,20.66,3.45,825.0,825.0,2022,11,5
Pennar,26,17.74,695.1,14.81,2.93,0.0,632.0,2022,11,6
Other,23,4.96,377.72,4.0,0.96,529.0,731.0,2022,11,7
Other,18,3.86,71.46,1.52,2.34,3084.0,2905.0,2022,11,8
Other,24,2.51,340.98,1.86,0.65,2103.0,2045.0,2022,11,9
Other,21,0.61,124.84,0.61,0.0,2929.0,3198.0,2022,11,10
Pennar,20,78.0,324.48,65.86,12.14,7404.0,6902.0,2022,11,11
Other,20,68.03,268.01,52.76,15.27,2430.0,2523.0,2022,11,12
Pennar,10,16.95,868.37,16.79,0.16,3500.0,5330.0,2022,11,14
Pennar,26,10.0,974.89,9.21,0.8,2048.0,640.0,2022,11,16
Pennar,26,9.98,632.55,1.79,8.19,4000.0,3121.0,2022,11,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2022,11,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,11,20
Pennar,26,1.6,643.21,0.67,0.93,0.0,80.0,2022,11,21
Pennar,3,0.31,237.27,0.24,0.07,0.0,0.0,2022,11,22
Krishna,10,215.81,868.47,135.51,80.3,2264.0,24220.0,2022,12,1
Krishna,9,312.05,586.7,303.95,8.1,27063.0,21062.0,2022,12,2
Krishna,13,3.07,57.05,3.07,0.0,9137.0,8616.0,2022,12,4
Other,7,24.11,278.81,20.94,3.17,150.0,150.0,2022,12,5
Pennar,26,17.74,633.46,2.63,15.11,869.0,649.0,2022,12,6
Other,23,4.96,373.26,3.25,1.71,482.0,664.0,2022,12,7
Other,18,3.86,71.56,1.53,2.33,2222.0,2222.0,2022,12,8
Other,24,2.51,340.81,1.83,0.68,794.0,1245.0,2022,12,9
Other,21,0.61,125.0,0.61,0.0,1460.0,1365.0,2022,12,10
Pennar,20,78.0,326.88,71.08,6.92,7212.0,7721.0,2022,12,11
Other,20,68.03,266.86,51.31,16.72,4000.0,2780.0,2022,12,12
Pennar,10,16.95,867.65,16.3,0.65,0.0,550.0,2022,12,14
Pennar,26,10.0,975.9,9.58,0.42,240.0,220.0,2022,12,16
Pennar,26,9.98,633.33,1.88,8.1,0.0,406.0,2022,12,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2022,12,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2022,12,20
Pennar,26,1.6,642.06,0.56,1.04,0.0,20.0,2022,12,21
Pennar,3,0.31,237.82,0.28,0.03,0.0,0.0,2022,12,22
Krishna,10,215.81,856.9,96.95,118.86,0.0,11750.0,2023,1,1
Krishna,9,312.05,579.3,280.99,31.06,1434.0,21545.0,2023,1,2
Krishna,13,3.07,57.05,3.07,0.0,8705.0,8705.0,2023,1,4
Other,7,24.11,276.61,19.7,4.41,36.0,1330.0,2023,1,5
Pennar,26,17.74,698.05,15.66,2.08,0.0,164.0,2023,1,6
Other,23,4.96,373.4,3.27,1.69,22.0,22.0,2023,1,7
Other,18,3.86,71.6,1.71,2.15,1553.0,1739.0,2023,1,8
Other,24,2.51,341.63,1.97,0.54,1007.0,1076.0,2023,1,9
Other,21,0.61,121.95,0.35,0.26,1030.0,870.0,2023,1,10
Pennar,20,78.0,327.3,72.0,6.0,5174.0,5186.0,2023,1,11
Other,20,68.03,268.65,53.56,14.47,1450.0,2270.0,2023,1,12
Pennar,10,16.95,861.77,13.63,3.32,0.0,1540.0,2023,1,14
Pennar,26,10.0,975.9,9.58,0.42,170.0,150.0,2023,1,16
Pennar,26,9.98,637.53,2.51,7.47,3000.0,2626.0,2023,1,17
Pennar,26,6.0,916.62,5.59,0.42,0.0,10.0,2023,1,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2023,1,20
Pennar,26,1.6,641.4,0.51,1.09,0.0,20.0,2023,1,21
Pennar,3,0.31,237.82,0.28,0.03,0.0,0.0,2023,1,22
Krishna,10,215.81,838.5,59.63,156.18,0.0,4485.0,2023,2,1
Krishna,9,312.05,565.6,245.58,66.47,6543.0,26321.0,2023,2,2
Krishna,13,3.07,57.05,3.07,0.0,4560.0,4820.0,2023,2,4
Other,7,24.11,271.16,16.85,7.26,94.0,1200.0,2023,2,5
Pennar,26,17.74,694.45,14.63,3.11,0.0,399.0,2023,2,6
Other,23,4.96,372.8,3.18,1.78,0.0,22.0,2023,2,7
Other,18,3.86,71.19,1.63,2.23,1095.0,1454.0,2023,2,8
Other,24,2.51,343.04,2.24,0.27,741.0,232.0,2023,2,9
Other,21,0.61,121.31,0.3,0.31,1050.0,802.0,2023,2,10
Pennar,20,78.0,325.59,68.22,9.78,1738.0,5326.0,2023,2,11
Other,20,68.03,264.94,48.91,19.12,0.0,1740.0,2023,2,12
Pennar,10,16.95,854.16,10.32,6.63,0.0,240.0,2023,2,14
Pennar,26,10.0,975.51,9.43,0.57,30.0,90.0,2023,2,16
Pennar,26,9.98,628.94,1.38,8.6,0.0,416.0,2023,2,17
Pennar,26,6.0,913.26,5.31,0.69,0.0,10.0,2023,2,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2023,2,20
Pennar,26,1.6,640.45,0.45,1.15,0.0,20.0,2023,2,21
Pennar,3,0.31,237.78,0.28,0.04,0.0,0.0,2023,2,22
Krishna,10,215.81,822.9,43.07,172.74,0.0,4095.0,2023,3,1
Krishna,9,312.05,548.2,205.82,106.23,9521.0,34975.0,2023,3,2
Krishna,13,3.07,57.05,3.07,0.0,3694.0,3422.0,2023,3,4
Other,7,24.11,263.91,13.96,10.15,96.0,1185.0,2023,3,5
Pennar,26,17.74,690.77,13.63,4.11,0.0,399.0,2023,3,6
Other,23,4.96,371.8,3.02,1.94,0.0,34.0,2023,3,7
Other,18,3.86,71.44,1.68,2.18,667.0,667.0,2023,3,8
Other,24,2.51,342.16,2.07,0.44,610.0,332.0,2023,3,9
Other,21,0.61,117.88,0.12,0.49,100.0,285.0,2023,3,10
Pennar,20,78.0,322.17,61.17,16.83,116.0,3434.0,2023,3,11
Other,20,68.03,261.17,44.46,23.57,0.0,1840.0,2023,3,12
Pennar,10,16.95,845.04,6.96,9.99,0.0,2205.0,2023,3,14
Pennar,26,10.0,974.64,9.11,0.89,0.0,160.0,2023,3,16
Pennar,26,9.98,646.03,3.91,6.07,0.0,426.0,2023,3,17
Pennar,26,6.0,908.35,4.94,1.06,0.0,180.0,2023,3,18
Pennar,10,2.97,815.28,0.0,2.97,0.0,0.0,2023,3,20
Pennar,26,1.6,639.63,0.39,1.21,0.0,15.0,2023,3,21
Pennar,3,0.31,237.78,0.28,0.04,0.0,0.0,2023,3,22
Krishna,10,215.81,806.3,32.2,183.61,0.0,0.0,2023,4,1
Krishna,9,312.05,528.8,165.81,146.24,5151.0,9623.0,2023,4,2
Krishna,13,3.07,56.86,3.02,0.05,3241.0,3663.0,2023,4,4
Other,7,24.11,257.02,11.61,12.5,365.0,1140.0,2023,4,5
Pennar,26,17.74,633.46,2.63,15.11,0.0,429.0,2023,4,6
Other,23,4.96,371.4,2.96,2.0,0.0,44.0,2023,4,7
Other,18,3.86,71.69,1.55,2.31,807.0,993.0,2023,4,8
Other,24,2.51,341.96,2.03,0.48,567.0,150.0,2023,4,9
Other,21,0.61,120.8,0.27,0.34,500.0,409.0,2023,4,10
