State,Year,Name,Forest,Barren,Others,Fallow,Cropped,,,
1,2000,Arunachal Pradesh,0,25536,76574,77455,242299,,,
1,2001,Arunachal Pradesh,0,25536,76574,77455,247739,,,
1,2002,Arunachal Pradesh,0,25586,76574,77455,255212,,,
1,2003,Arunachal Pradesh,0,63613,120303,109094,254000,,,
1,2004,Arunachal Pradesh,0,64904,121765,109218,255000,,,
1,2005,Arunachal Pradesh,0,64882,121901,109210,266000,,,
1,2006,Arunachal Pradesh,0,64922,121900,109279,271000,,,
1,2007,Arunachal Pradesh,0,64463,122195,109608,272000,,,
1,2008,Arunachal Pradesh,0,64471,120261,109500,275500,,,
1,2009,Arunachal Pradesh,0,64462,120440,109648,276000,,,
1,2010,Arunachal Pradesh,6735000,64462,119943,109143,278000,,,1000
1,2011,Arunachal Pradesh,6735000,64402,119355,108181,281017,,,
1,2012,Arunachal Pradesh,6748000,64402,118920,107182,284573,,,
1,2013,Arunachal Pradesh,6748000,64402,116380,100782,295577,,,
1,2014,Arunachal Pradesh,6732000,61979,115380,100618,299000,,,
1,2015,Arunachal Pradesh,6732000,61979,114489,100173,301112,,,
1,2016,Arunachal Pradesh,6725000,61979,113489,95673,313200,,,
1,2017,Arunachal Pradesh,6725000,61979,112989,95763,316417,,,
1,2018,Arunachal Pradesh,6669000,61979,112989,94673,319895,,,
1,2019,Arunachal Pradesh,6669000,61979,112989,94193,320388,,,
1,2020,Arunachal Pradesh,6643000,61979,112759,94123,327942,,,
1,2021,Arunachal Pradesh,6643000,62000,113000,94000,431000,,,
1,2022,Arunachal Pradesh,6643000,62000,112000,94000,431000,,,
1,2023,Arunachal Pradesh,6643000,62000,106000,90000,431000,,,
1,2024,Arunachal Pradesh,0,0,0,0,0,,,
2,2000,Odisha,5813000,1842000,1317000,770000,7877960,,,
2,2001,Odisha,5813000,1842000,1317000,754000,8798650,,,
2,2002,Odisha,5813000,1842000,1317000,919000,7852560,,,
2,2003,Odisha,5813000,1842000,1317000,804000,8636590,,,
2,2004,Odisha,5813000,1842000,1317000,860000,8717921,,,
2,2005,Odisha,5813000,1842000,1317000,908000,8928390,,,
2,2006,Odisha,862930,74656,177074,158159,405842,,,
2,2007,Odisha,5813000,2138000,1211000,785000,9015820,,,
2,2008,Odisha,5813000,2138000,1211000,805000,9070620,,,
2,2009,Odisha,5813547,2306000,1223000,1432000,5510044,,,
2,2010,Odisha,5813547,2279000,1253000,1444000,5428784,,,
2,2011,Odisha,5813547,2297000,1244000,1619000,4964475,,,
2,2012,Odisha,5813547,2409000,1285000,1608000,5068591,,,
2,2013,Odisha,5813547,2332000,1315000,1511000,5167661,,,
2,2014,Odisha,5813547,2396000,1285000,1549000,5173003,,,
2,2015,Odisha,1924000,2430000,1302000,1683000,4802647,,,
2,2016,Odisha,1897000,2436000,1333000,1770000,4884260,,,
2,2017,Odisha,1925000,2353000,1401000,1993000,4501826,,,
2,2018,Odisha,1912000,2419000,1365000,1827000,4526995,,,
2,2019,Odisha,1963000,2331000,1372000,1760000,4669753,,,
2,2020,Odisha,1850000,2485000,1356000,1658000,4819259,,,
2,2021,Odisha,5216000,2485000,1356000,1658000,6654000,,,
2,2022,Odisha,5216000,2339000,1338000,1632000,6782000,,,
2,2023,Odisha,5216000,2449000,1394000,1613000,6742000,,,
2,2024,Odisha,0,0,0,0,0,,,
3,2000,Manipur,0,26900,8055,200,208500,,,
3,2001,Manipur,0,0,0,0,216160,,,
3,2002,Manipur,5149700,2915400,2454000,3043700,20915500,,,
3,2003,Manipur,0,0,0,0,217420,,,
3,2004,Manipur,0,0,0,0,179530,,,
3,2005,Manipur,0,0,0,0,0,,,
3,2006,Manipur,0,0,0,0,0,,,
3,2007,Manipur,0,0,0,0,0,,,
3,2008,Manipur,0,0,0,0,0,,,
3,2009,Manipur,0,0,0,0,0,,,
3,2010,Manipur,1728000,27000,8000,0,234000,,,
3,2011,Manipur,1728000,27000,8000,0,348000,,,
3,2012,Manipur,1728000,27000,8000,0,365000,,,
3,2013,Manipur,1728000,27000,8000,0,309000,,,
3,2014,Manipur,1699000,27000,8000,0,377000,,,
3,2015,Manipur,1699000,27000,8000,0,383000,,,
3,2016,Manipur,1699000,27000,8000,0,437000,,,
3,2017,Manipur,1699000,27000,8000,0,469000,,,
3,2018,Manipur,1685000,27000,8000,0,446000,,,
3,2019,Manipur,1685000,27000,8000,0,442000,,,
3,2020,Manipur,1660000,27000,8000,0,331000,,,
3,2021,Manipur,1660000,27000,8000,0,417000,,,
3,2022,Manipur,1660000,27000,8000,0,393000,,,
3,2023,Manipur,1660000,27000,8000,0,389000,,,
3,2024,Manipur,0,0,0,0,0,,,
4,2000,Rajasthan,2606093,4305645,6628637,4859466,19230240,,,
4,2001,Rajasthan,2645097,4272203,6442262,4140665,20798311,,,
4,2002,Rajasthan,2651014,4278953,6582075,9947231,13217538,,,
4,2003,Rajasthan,2660600,4259109,6269106,3682903,21664038,,,
4,2004,Rajasthan,2660816,4266913,6325028,4464498,21334486,,,
4,2005,Rajasthan,2674961,4262260,6318715,4173666,21699348,,,
4,2006,Rajasthan,2697575,4262060,6337091,4204437,21533809,,,
4,2007,Rajasthan,2726690,4264426,6291626,3891287,22208291,,,
4,2008,Rajasthan,2727944,4265141,6052329,3673058,22771259,,,
4,2009,Rajasthan,2735445,4267633,6189617,4102834,21744877,,,
4,2010,Rajasthan,2742705,4267932,5948808,2961631,26001788,,,
4,2011,Rajasthan,2743000,4268000,5949000,2962000,25565000,,,
4,2012,Rajasthan,2749812,4275172,5869865,3893610,23953602,,,
4,2013,Rajasthan,2757735,4274149,5717844,3249827,26119527,,,
4,2014,Rajasthan,2739819,4343013,5738312,3924829,24235354,,,
4,2015,Rajasthan,2751867,4340113,5587835,3563187,25013704,,,
4,2016,Rajasthan,255408,536283,26688,84219,7804364,,,
4,2017,Rajasthan,2755703,4365999,5528090,3734161,25069010,,,
4,2018,Rajasthan,2760127,4375272,5478146,3895421,25313351,,,
4,2019,Rajasthan,2769790,4378847,5412194,3697764,27515432,,,
4,2020,Rajasthan,2771530,4377403,5424021,3768283,26099974,,,
4,2021,Rajasthan,2772000,4377000,5424000,3768000,25473000,,,
4,2022,Rajasthan,2778000,4397000,5364000,3625000,25463000,,,
4,2023,Rajasthan,2773000,4390000,5247000,3449000,25464000,,,
4,2024,Rajasthan,0,0,0,0,0,,,
5,2000,Bihar,616446,2074594,295365,710586,7992279,,,
5,2001,Bihar,621635,2078572,298602,697207,7896888,,,
5,2002,Bihar,621635,2079382,300660,632412,7957402,,,
5,2003,Bihar,621635,2080880,301773,643192,7882377,,,
5,2004,Bihar,621635,2081892,302718,780921,7399318,,,
5,2005,Bihar,621635,2082759,303395,795593,7396492,,,
5,2006,Bihar,621635,2082950,303499,686362,7718948,,,
5,2007,Bihar,621635,2084753,303025,687951,7764646,,,
5,2008,Bihar,621635,2102222,304159,777469,7670934,,,
5,2009,Bihar,621635,2121439,305136,979625,7295805,,,
5,2010,Bihar,621635,2131457,305628,1042149,7194000,,,
5,2011,Bihar,621635,2134254,305506,902428,7646756,,,
5,2012,Bihar,621635,2140090,306963,888486,7777518,,,
5,2013,Bihar,621635,2143999,307710,1033973,7580142,,,
5,2014,Bihar,621635,2143809,307811,1007997,7672952,,,
5,2015,Bihar,621635,2144739,307640,1080658,7572417,,,
5,2016,Bihar,621635,2150305,307606,987088,7654357,,,
5,2017,Bihar,621635,2150029,307513,1038419,7525181,,,
5,2018,Bihar,621635,2150280,307325,1113174,7406378,,,
5,2019,Bihar,621635,2165829,308509,1186462,7296812,,,
5,2020,Bihar,621635,2182455,308540,1201582,7264538,,,
5,2021,Bihar,622000,2182000,309000,1202000,6541000,,,
5,2022,Bihar,622000,2181000,309000,1177000,6542000,,,
5,2023,Bihar,622000,2178000,310000,1137000,6545000,,,
5,2024,Bihar,0,0,0,0,0,,,
6,2000,Telangana,0,0,0,0,0,,,
6,2001,Telangana,0,0,0,0,0,,,
6,2002,Telangana,0,0,0,0,0,,,
6,2003,Telangana,0,0,0,0,0,,,
6,2004,Telangana,0,0,0,0,0,,,
6,2005,Telangana,0,0,0,0,0,,,
6,2006,Telangana,0,0,0,0,0,,,
6,2007,Telangana,0,0,0,0,0,,,
6,2008,Telangana,2105906,2664505,702415,2510923,5824248,,,
6,2009,Telangana,0,0,0,0,0,,,
6,2010,Telangana,0,0,0,0,0,,,
6,2011,Telangana,0,0,0,0,0,,,
6,2012,Telangana,2125475,2672415,687138,3003848,5139832,,,
6,2013,Telangana,0,0,0,0,0,,,
6,2014,Telangana,2743000,1510000,593000,1677000,6929000,,,
6,2015,Telangana,2540000,1492000,593000,2206000,6877000,,,
6,2016,Telangana,2646812,1379438,568993,1523992,5477964,,,
6,2017,Telangana,2646812,1361738,568993,1458200,5530169,,,
6,2018,Telangana,2353355,1322974,551247,1657128,5215398,,,
6,2019,Telangana,2683795,1418779,545418,997053,7238236,,,
6,2020,Telangana,2753605,1418767,469850,575299,8226638,,,
6,2021,Telangana,2768000,1443000,480000,589000,6717000,,,
6,2022,Telangana,2768000,1458000,460000,896000,6715000,,,
6,2023,Telangana,2768000,1462000,434000,648000,6735000,,,
6,2024,Telangana,0,0,0,0,0,,,
7,2000,Puducherry,0,0,0,0,0,,,
7,2001,Puducherry,0,0,0,0,0,,,
7,2002,Puducherry,0,0,0,0,0,,,
7,2003,Puducherry,0,0,0,0,0,,,
7,2004,Puducherry,0,0,0,0,0,,,
7,2005,Puducherry,0,0,0,0,0,,,
7,2006,Puducherry,0,0,0,0,0,,,
7,2007,Puducherry,0,0,0,0,0,,,
7,2008,Puducherry,0,0,0,0,0,,,
7,2009,Puducherry,0,0,0,0,0,,,
7,2010,Puducherry,0,0,0,0,0,,,
7,2011,Puducherry,0,0,0,0,0,,,
7,2012,Puducherry,0,0,0,0,0,,,
7,2013,Puducherry,0,0,0,0,0,,,
7,2014,Puducherry,0,0,0,0,0,,,
7,2015,Puducherry,0,0,0,0,0,,,
7,2016,Puducherry,0,0,0,0,0,,,
7,2017,Puducherry,0,0,0,0,0,,,
7,2018,Puducherry,0,0,0,0,0,,,
7,2019,Puducherry,0,0,0,0,0,,,
7,2020,Puducherry,0,515,0,0,2290,,,
7,2021,Puducherry,0,0,0,0,0,,,
7,2022,Puducherry,0,0,0,0,0,,,
7,2023,Puducherry,0,0,0,0,0,,,
7,2024,Puducherry,0,0,0,0,0,,,
8,2000,Lakshadweep,0,0,0,0,0,,,
8,2001,Lakshadweep,0,0,0,0,0,,,
8,2002,Lakshadweep,0,0,0,0,0,,,
8,2003,Lakshadweep,0,0,0,0,0,,,
8,2004,Lakshadweep,0,0,0,0,0,,,
8,2005,Lakshadweep,0,0,0,0,0,,,
8,2006,Lakshadweep,0,0,0,0,0,,,
8,2007,Lakshadweep,0,0,0,0,0,,,
8,2008,Lakshadweep,0,0,0,0,0,,,
8,2009,Lakshadweep,0,0,0,0,0,,,
8,2010,Lakshadweep,0,0,0,0,0,,,
8,2011,Lakshadweep,0,0,0,0,0,,,
8,2012,Lakshadweep,0,0,0,0,0,,,
8,2013,Lakshadweep,0,0,0,0,0,,,
8,2014,Lakshadweep,0,0,0,0,0,,,
8,2015,Lakshadweep,0,0,0,0,0,,,
8,2016,Lakshadweep,0,0,0,0,0,,,
8,2017,Lakshadweep,0,0,0,0,0,,,
8,2018,Lakshadweep,0,0,0,0,0,,,
8,2019,Lakshadweep,0,0,0,0,0,,,
8,2020,Lakshadweep,0,515,0,0,2290,,,
8,2021,Lakshadweep,0,0,0,0,0,,,
8,2022,Lakshadweep,0,0,0,0,0,,,
8,2023,Lakshadweep,0,0,0,0,0,,,
8,2024,Lakshadweep,0,0,0,0,0,,,
9,2000,Ladakh,0,0,0,0,0,,,
9,2001,Ladakh,0,0,0,0,0,,,
9,2002,Ladakh,0,0,0,0,0,,,
9,2003,Ladakh,0,0,0,0,0,,,
9,2004,Ladakh,0,0,0,0,0,,,
9,2005,Ladakh,0,0,0,0,0,,,
9,2006,Ladakh,0,0,0,0,0,,,
9,2007,Ladakh,0,0,0,0,0,,,
9,2008,Ladakh,0,0,0,0,0,,,
9,2009,Ladakh,0,0,0,0,0,,,
9,2010,Ladakh,0,0,0,0,0,,,
9,2011,Ladakh,0,0,0,0,0,,,
9,2012,Ladakh,0,0,0,0,0,,,
9,2013,Ladakh,0,0,0,0,0,,,
9,2014,Ladakh,0,0,0,0,0,,,
9,2015,Ladakh,0,0,0,0,0,,,
9,2016,Ladakh,0,0,0,0,0,,,
9,2017,Ladakh,0,0,0,0,0,,,
9,2018,Ladakh,0,0,0,0,0,,,
9,2019,Ladakh,0,0,0,0,0,,,
9,2020,Ladakh,0,0,0,0,0,,,
9,2021,Ladakh,0,0,0,0,0,,,
9,2022,Ladakh,0,0,0,0,0,,,
9,2023,Ladakh,0,0,0,0,0,,,
9,2024,Ladakh,0,0,0,0,0,,,
10,2000,Kerala,1081509,411191,74830,111841,3021682,,,
10,2001,Kerala,1081509,422080,77617,113601,2992252,,,
10,2002,Kerala,1081509,422921,82551,109979,2970384,,,
10,2003,Kerala,1081509,424783,78432,109940,2954454,,,
10,2004,Kerala,1081509,458975,80577,109551,2996293,,,
10,2005,Kerala,1081509,481025,75933,115337,2985727,,,
10,2006,Kerala,1081509,475004,99548,128795,2917541,,,
10,2007,Kerala,1081509,488205,99377,128167,2761094,,,
10,2008,Kerala,1081509,499685,102424,113714,2694943,,,
10,2009,Kerala,1081509,501079,102665,122319,2668678,,,
10,2010,Kerala,1081509,509792,95508,127971,2647461,,,
10,2011,Kerala,1081509,531032,98888,134726,2661757,,,
10,2012,Kerala,1081509,524577,99513,132579,2591734,,,
10,2013,Kerala,1081509,525864,99598,128322,2616670,,,
10,2014,Kerala,1081509,538493,103334,120070,2624624,,,
10,2015,Kerala,1081509,554282,102162,125261,2627577,,,
10,2016,Kerala,1081509,557929,103829,127538,2584006,,,
10,2017,Kerala,1081509,558644,98736,106983,2579701,,,
10,2018,Kerala,1081509,569530,98616,103006,2571095,,,
10,2019,Kerala,1081509,572443,101953,104318,2586452,,,
10,2020,Kerala,1081509,576248,96396,97009,2568967,,,
10,2021,Kerala,1082000,576000,0,97000,2229000,,,
10,2022,Kerala,1082000,581000,0,103000,2223000,,,
10,2023,Kerala,1082000,604000,0,113000,2200000,,,
10,2024,Kerala,0,0,0,0,0,,,
11,2000,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2001,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2002,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2003,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2004,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2005,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2006,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2007,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2008,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2009,Andaman and Nicobar Islands,0,0,0,0,0,,,
11,2010,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2011,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2012,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2013,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2014,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2015,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2016,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2017,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2018,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2019,Andaman and Nicobar Islands,717000,9000,11000,6000,28000,,,
11,2020,Andaman and Nicobar Islands,674000,9000,11000,6000,28000,,,
11,2021,Andaman and Nicobar Islands,674000,9000,11000,6000,28000,,,
11,2022,Andaman and Nicobar Islands,674000,9000,11000,6000,28000,,,
11,2023,Andaman and Nicobar Islands,674000,9000,11000,6000,28000,,,
11,2024,Andaman and Nicobar Islands,0,0,0,0,0,,,
12,2000,Maharashtra,5149700,2907900,2453900,2402700,21618500,,,
12,2001,Maharashtra,5149700,2912400,2453900,3020000,20991000,,,
12,2002,Maharashtra,5149700,2915400,2454000,3043700,20915500,,,
12,2003,Maharashtra,0,0,0,0,0,,,
12,2004,Maharashtra,0,0,0,0,0,,,
12,2005,Maharashtra,0,0,0,0,0,,,
12,2006,Maharashtra,0,0,0,0,0,,,
12,2007,Maharashtra,0,0,0,0,0,,,
12,2008,Maharashtra,0,0,0,0,0,,,
12,2009,Maharashtra,8688874,3431507,2508423,1155374,21411401,,,
12,2010,Maharashtra,5215000,3172000,2409000,2562000,21130000,,,
12,2011,Maharashtra,5216000,3179000,2412000,2545000,21121000,,,
12,2012,Maharashtra,5211000,3179000,2413000,2570000,21125000,,,
12,2013,Maharashtra,5207000,3177000,2412000,2618000,21129000,,,
12,2014,Maharashtra,5206000,3184000,2407000,2594000,21127000,,,
12,2015,Maharashtra,5201000,3209000,2417000,2587000,21099000,,,
12,2016,Maharashtra,5195000,3252000,2388000,2732000,21062000,,,
12,2017,Maharashtra,5195000,3465000,2530000,2659000,20748000,,,
12,2018,Maharashtra,5220000,3485000,2467000,2628000,20751000,,,
12,2019,Maharashtra,5174000,3542000,2519000,2708000,20719000,,,
12,2020,Maharashtra,5222000,3594000,2561000,2659000,20589000,,,
12,2021,Maharashtra,5207000,3677000,2572000,2652000,20509000,,,
12,2022,Maharashtra,5209000,3719000,2582000,2658000,20466000,,,
12,2023,Maharashtra,5199000,3754000,2643000,2671000,20394000,,,
12,2024,Maharashtra,0,0,0,0,0,,,
13,2000,Uttar Pradesh,1686004,3007390,934491,1655805,25014777,,,
13,2001,Uttar Pradesh,1678480,3068089,933461,1619677,25127607,,,
13,2002,Uttar Pradesh,1678480,3089607,900639,1842703,24009834,,,
13,2003,Uttar Pradesh,1675956,3102513,883108,1696360,25108160,,,
13,2004,Uttar Pradesh,1677797,3136262,854266,1755522,25210376,,,
13,2005,Uttar Pradesh,1648305,3170610,870014,1788358,24990663,,,
13,2006,Uttar Pradesh,1651226,3191848,867668,1795180,25097467,,,
13,2007,Uttar Pradesh,1652475,3223112,870545,1915561,25004430,,,
13,2008,Uttar Pradesh,1656296,3232145,859369,1768872,25154833,,,
13,2009,Uttar Pradesh,1656227,3249982,848464,1733551,25148324,,,
13,2010,Uttar Pradesh,1652146,3274948,838733,1719008,25319320,,,
13,2011,Uttar Pradesh,1658000,3321000,846000,1753000,19126000,,,
13,2012,Uttar Pradesh,1658068,3371403,838645,1738506,25820707,,,
13,2013,Uttar Pradesh,1658153,3491436,800973,1674004,25895877,,,
13,2014,Uttar Pradesh,1658608,3507535,775526,1630742,26147116,,,
13,2015,Uttar Pradesh,1666173,3576216,750990,1707892,26203317,,,
